Tournament,Date,Surface,Round,player_1,player_1_rank,player_1_odds,player_2,player_2_rank,player_2_odds,result,player_1_match_win_percent,player_2_match_win_percent,player_1_games_win_percent,player_2_games_win_percent,player_1_5_sets_match_win_percent,player_2_5_sets_match_win_percent,player_1_close_sets_percent,player_2_close_sets_percent,player_1_match_win_percent_hard,player_2_match_win_percent_hard,player_1_games_win_percent_hard,player_2_games_win_percent_hard,player_1_5_sets_match_win_percent_hard,player_2_5_sets_match_win_percent_hard,player_1_close_sets_percent_hard,player_2_close_sets_percent_hard,player_1_match_win_percent_60,player_2_match_win_percent_60,player_1_games_win_percent_60,player_2_games_win_percent_60,player_1_5_sets_match_win_percent_60,player_2_5_sets_match_win_percent_60,player_1_close_sets_percent_60,player_2_close_sets_percent_60,player_1_match_win_percent_hard_100,player_2_match_win_percent_hard_100,player_1_games_win_percent_hard_100,player_2_games_win_percent_hard_100,player_1_5_sets_match_win_percent_hard_100,player_2_5_sets_match_win_percent_hard_100,player_1_close_sets_percent_hard_100,player_2_close_sets_percent_hard_100,player_1_match_win_percent_h2h,player_2_match_win_percent_h2h,player_1_games_win_percent_h2h,player_2_games_win_percent_h2h,player_1_match_win_percent_hard_h2h,player_2_match_win_percent_hard_h2h,player_1_games_win_percent_hard_h2h,player_2_games_win_percent_hard_h2h,diff_match_win_percent,diff_games_win_percent,diff_5_sets_match_win_percent,diff_close_sets_percent,diff_match_win_percent_hard,diff_games_win_percent_hard,diff_5_sets_match_win_percent_hard,diff_close_sets_percent_hard,diff_match_win_percent_60,diff_games_win_percent_60,diff_5_sets_match_win_percent_60,diff_close_sets_percent_60,diff_match_win_percent_hard_100,diff_games_win_percent_hard_100,diff_5_sets_match_win_percent_hard_100,diff_close_sets_percent_hard_100,diff_match_win_percent_h2h,diff_games_win_percent_h2h,diff_match_win_percent_hard_h2h,diff_games_win_percent_hard_h2h
Australian Open,2011/01/17,Hard,1st Round,Mannarino A.,74.0,1.57,Harrison R.,172.0,2.34,0,0.5,0.0,0.4891304347826087,0.3333333333333333,0.0,0.0,0.5,0.0,0.5,0.0,0.4891304347826087,0.3333333333333333,0.0,0.0,0.5,0.0,0.5,0.0,0.4891304347826087,0.3333333333333333,0.0,0.0,0.5,0.0,0.5,0.0,0.4891304347826087,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1557971014492754,0.0,0.5,0.5,0.1557971014492754,0.0,0.5,0.5,0.1557971014492754,0.0,0.5,0.5,0.1557971014492754,0.0,0.5,0.0,0.0,0.0,0.0
Australian Open,2011/01/17,Hard,1st Round,Malisse X.,45.0,1.08,Andujar P.,70.0,7.21,0,0.6666666666666666,0.0,0.5801526717557252,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.5801526717557252,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.5801526717557252,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.5801526717557252,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5801526717557252,0.0,0.6666666666666666,0.6666666666666666,0.5801526717557252,0.0,0.6666666666666666,0.6666666666666666,0.5801526717557252,0.0,0.6666666666666666,0.6666666666666666,0.5801526717557252,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
Australian Open,2011/01/17,Hard,1st Round,Kohlschreiber P.,35.0,1.29,Kamke T.,65.0,3.44,0,0.6,0.3333333333333333,0.5251798561151079,0.5,0.0,0.0,0.6666666666666666,0.5555555555555556,0.6,0.3333333333333333,0.5251798561151079,0.5,0.0,0.0,0.6666666666666666,0.5555555555555556,0.6,0.3333333333333333,0.5251798561151079,0.5,0.0,0.0,0.6666666666666666,0.5555555555555556,0.6,0.3333333333333333,0.5251798561151079,0.5,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.025179856115107868,0.0,0.11111111111111105,0.26666666666666666,0.025179856115107868,0.0,0.11111111111111105,0.26666666666666666,0.025179856115107868,0.0,0.11111111111111105,0.26666666666666666,0.025179856115107868,0.0,0.11111111111111105,0.0,0.0,0.0,0.0
Australian Open,2011/01/17,Hard,1st Round,Federer R.,2.0,1.01,Lacko L.,97.0,19.75,0,1.0,0.5,0.6153846153846154,0.5151515151515151,0.0,0.0,0.6666666666666666,0.8333333333333334,1.0,0.5,0.6153846153846154,0.5151515151515151,0.0,0.0,0.6666666666666666,0.8333333333333334,1.0,0.5,0.6153846153846154,0.5151515151515151,0.0,0.0,0.6666666666666666,0.8333333333333334,1.0,0.5,0.6153846153846154,0.5151515151515151,0.0,0.0,0.6666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.10023310023310028,0.0,-0.16666666666666674,0.5,0.10023310023310028,0.0,-0.16666666666666674,0.5,0.10023310023310028,0.0,-0.16666666666666674,0.5,0.10023310023310028,0.0,-0.16666666666666674,0.0,0.0,0.0,0.0
Australian Open,2011/01/17,Hard,1st Round,Montanes A.,26.0,1.3,Brown D.,89.0,3.41,0,0.0,0.0,0.4482758620689655,0.46153846153846156,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.4482758620689655,0.46153846153846156,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.4482758620689655,0.46153846153846156,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.4482758620689655,0.46153846153846156,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01326259946949604,0.0,0.0,0.0,-0.01326259946949604,0.0,0.0,0.0,-0.01326259946949604,0.0,0.0,0.0,-0.01326259946949604,0.0,0.0,0.0,0.0,0.0,0.0
Australian Open,2011/01/17,Hard,1st Round,Roddick A.,8.0,1.01,Hajek J.,96.0,18.7,0,0.8,0.0,0.6122448979591837,0.0,0.0,0.0,0.6,0.0,0.8,0.0,0.6122448979591837,0.0,0.0,0.0,0.6,0.0,0.8,0.0,0.6122448979591837,0.0,0.0,0.0,0.6,0.0,0.8,0.0,0.6122448979591837,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6122448979591837,0.0,0.6,0.8,0.6122448979591837,0.0,0.6,0.8,0.6122448979591837,0.0,0.6,0.8,0.6122448979591837,0.0,0.6,0.0,0.0,0.0,0.0
Australian Open,2011/01/17,Hard,1st Round,Andreev I.,75.0,1.08,Volandri F.,88.0,7.26,0,0.3333333333333333,0.0,0.49206349206349204,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.49206349206349204,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.49206349206349204,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.49206349206349204,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.49206349206349204,0.0,0.3333333333333333,0.3333333333333333,0.49206349206349204,0.0,0.3333333333333333,0.3333333333333333,0.49206349206349204,0.0,0.3333333333333333,0.3333333333333333,0.49206349206349204,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Australian Open,2011/01/17,Hard,1st Round,Dabul B.,109.0,2.43,Mahut N.,132.0,1.54,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Open,2011/01/17,Hard,1st Round,Golubev A.,38.0,1.86,Dimitrov G.,105.0,1.88,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Open,2011/01/17,Hard,1st Round,Troicki V.,27.0,1.14,Tursunov D.,197.0,5.35,0,0.7142857142857143,0.0,0.5539568345323741,0.0,0.0,0.0,0.5714285714285714,0.0,0.7142857142857143,0.0,0.5539568345323741,0.0,0.0,0.0,0.5714285714285714,0.0,0.7142857142857143,0.0,0.5539568345323741,0.0,0.0,0.0,0.5714285714285714,0.0,0.7142857142857143,0.0,0.5539568345323741,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.5539568345323741,0.0,0.5714285714285714,0.7142857142857143,0.5539568345323741,0.0,0.5714285714285714,0.7142857142857143,0.5539568345323741,0.0,0.5714285714285714,0.7142857142857143,0.5539568345323741,0.0,0.5714285714285714,0.0,0.0,0.0,0.0
